Date,Product,Region,Sales_Rep,Quantity,Unit_Price,Customer_ID,Total_Sales,Month,Quarter
2023-04-13,Headphones,Central,Rep_15,43,1570.3974505319002,CUST_6734,67527.09037287171,2023-04,2023Q2
2023-05-02,Tablet,East,Rep_11,24,700.7317917210926,CUST_9322,16817.563001306222,2023-05,2023Q2
2024-10-23,Mouse,South,Rep_12,30,464.0612658226385,CUST_6311,13921.837974679156,2024-10,2024Q4
2023-10-04,Laptop,West,Rep_12,25,617.8968233861817,CUST_3558,15447.420584654543,2023-10,2023Q4
2024-11-12,Headphones,West,Rep_16,15,939.3364692232201,CUST_3734,14090.0470383483,2024-11,2024Q4
2024-07-16,Headphones,West,Rep_3,37,1234.7124612078048,CUST_6393,45684.361064688776,2024-07,2024Q3
2024-01-23,Laptop,West,Rep_14,9,81.13419182941769,CUST_8041,730.2077264647592,2024-01,2024Q1
2023-12-06,Headphones,West,Rep_7,44,1015.5949747169768,CUST_9226,44686.17888754698,2023-12,2023Q4
2023-07-25,Laptop,West,Rep_18,40,1522.9547501194222,CUST_2021,60918.19000477689,2023-07,2023Q3
2024-01-25,Keyboard,South,Rep_4,29,1940.6900241408891,CUST_7873,56280.01070008578,2024-01,2024Q1
2024-07-09,Phone,South,Rep_4,14,1468.1803919200206,CUST_8629,20554.525486880288,2024-07,2024Q3
2024-12-27,Headphones,North,Rep_8,21,807.92071489449,CUST_9529,16966.33501278429,2024-12,2024Q4
2023-02-22,Phone,North,Rep_13,41,627.7333361229606,CUST_1064,25737.066781041387,2023-02,2023Q1
2024-06-04,Laptop,West,Rep_8,24,77.45565429441469,CUST_6618,1858.9357030659526,2024-06,2024Q2
2024-08-15,Tablet,East,Rep_1,5,1856.2867131010305,CUST_7184,9281.433565505153,2024-08,2024Q3
2023-01-28,Monitor,North,Rep_8,12,695.2511484626659,CUST_8215,8343.013781551992,2023-01,2023Q1
2024-05-17,Monitor,Central,Rep_3,44,1293.2370691426656,CUST_9154,56902.43104227729,2024-05,2024Q2
2024-06-30,Laptop,East,Rep_5,47,1440.8273350848403,CUST_4840,67718.88474898749,2024-06,2024Q2
2023-01-05,Phone,East,Rep_9,15,883.7049857991718,CUST_8721,13255.574786987578,2023-01,2023Q1
2024-04-05,Tablet,North,Rep_20,32,1406.2563685309485,CUST_8574,45000.20379299035,2024-04,2024Q2
2023-08-19,Mouse,East,Rep_4,13,200.11082416614633,CUST_4157,2601.440714159902,2023-08,2023Q3
2024-07-31,Phone,Central,Rep_6,28,1617.1605499532732,CUST_4627,45280.49539869165,2024-07,2024Q3
2023-12-06,Keyboard,East,Rep_7,33,580.6578863000389,CUST_2306,19161.710247901283,2023-12,2023Q4
2024-09-24,Headphones,Central,Rep_9,3,63.55665453582187,CUST_6575,190.6699636074656,2024-09,2024Q3
2024-02-15,Laptop,Central,Rep_1,42,708.3495842370745,CUST_2998,29750.68253795713,2024-02,2024Q1
2024-01-09,Laptop,West,Rep_17,49,545.1350571719722,CUST_2291,26711.61780142664,2024-01,2024Q1
2024-05-24,Monitor,South,Rep_3,49,338.7695134091298,CUST_1698,16599.70615704736,2024-05,2024Q2
2023-04-23,Phone,South,Rep_5,32,1821.1184776349746,CUST_6249,58275.79128431919,2023-04,2023Q2
2023-02-22,Headphones,South,Rep_6,32,1205.7586115648173,CUST_4510,38584.275570074155,2023-02,2023Q1
2023-07-22,Tablet,North,Rep_6,24,967.0862371697749,CUST_8777,23210.069692074598,2023-07,2023Q3
2023-07-17,Keyboard,East,Rep_16,16,1678.839866399014,CUST_5282,26861.437862384224,2023-07,2023Q3
2023-11-22,Mouse,East,Rep_20,36,82.3462664093195,CUST_2986,2964.465590735502,2023-11,2023Q4
2024-05-25,Tablet,West,Rep_7,41,1397.3285892998085,CUST_6759,57290.47216129215,2024-05,2024Q2
2024-07-04,Phone,North,Rep_11,28,1483.6714325195057,CUST_6534,41542.80011054616,2024-07,2024Q3
2023-10-25,Tablet,West,Rep_16,26,1965.2282694923995,CUST_3049,51095.935006802385,2023-10,2023Q4
2023-10-31,Keyboard,West,Rep_5,37,1771.1408692192124,CUST_8158,65532.21216111086,2023-10,2023Q4
2023-01-09,Laptop,East,Rep_19,48,1700.9892273646965,CUST_5499,81647.48291350543,2023-01,2023Q1
2023-06-01,Keyboard,North,Rep_20,11,1874.4882387308478,CUST_6539,20619.370626039326,2023-06,2023Q2
2024-02-26,Headphones,East,Rep_16,25,1343.8284497607087,CUST_3961,33595.711244017715,2024-02,2024Q1
2023-12-04,Phone,East,Rep_16,41,393.0542427208235,CUST_6699,16115.223951553762,2023-12,2023Q4
2024-02-02,Mouse,West,Rep_8,7,1455.832852291652,CUST_5735,10190.829966041563,2024-02,2024Q1
2023-02-02,Headphones,East,Rep_19,22,567.1446169793646,CUST_7893,12477.181573546022,2023-02,2023Q1
2024-10-31,Keyboard,Central,Rep_19,8,1280.7203206946626,CUST_1225,10245.762565557301,2024-10,2024Q4
2023-10-04,Keyboard,North,Rep_15,33,430.7238262061868,CUST_8996,14213.886264804165,2023-10,2023Q4
2024-10-20,Headphones,East,Rep_17,17,1989.373496054815,CUST_3205,33819.34943293186,2024-10,2024Q4
2024-04-21,Keyboard,Central,Rep_6,35,1508.0516090999572,CUST_2060,52781.8063184985,2024-04,2024Q2
2023-10-07,Mouse,North,Rep_14,31,1929.0589553240432,CUST_6088,59800.82761504534,2023-10,2023Q4
2023-04-26,Monitor,Central,Rep_1,3,380.51085603788033,CUST_2816,1141.532568113641,2023-04,2023Q2
